step,ppl,loss
200064,4.626885374068732,0.01
400128,2.470862438201784,0.01
600192,2.1546574618476293,0.01
800256,2.0064446023266953,0.01
1000320,1.9227368041443362,0.01
1200384,1.8875112241769423,0.01
1400448,1.8435704320035562,0.01
1600512,1.8199616005410006,0.01
1800576,1.8065753988449254,0.01
2000640,1.7860360504603072,0.0
2200704,1.7754162058199432,0.0
2400768,1.7620939536091957,0.0
2600832,1.7475646404834675,0.0
2800896,1.7392755990810225,0.0
3000960,1.7322007327807467,0.0
3201024,1.7167078402732632,0.0
3401088,1.7092920049538967,0.01
3601152,1.7093138943921202,0.01
3801216,1.7012125584434075,0.01
