step,ppl,loss
200064,23.00109705449083,0.01
400128,6.598366377406463,0.01
200064,13.987153086442088,0.01
600192,4.025214254077726,0.01
800256,3.181344486615551,0.02
400128,4.295317713172419,0.01
1000320,2.8095629152368127,0.02
600192,2.9028643448265123,0.01
1200384,2.6080927979373816,0.02
800256,2.455971553027686,0.01
1400448,2.4807987486809995,0.02
1000320,2.2517550194288276,0.01
1600512,2.412235946077991,0.02
1200384,2.1430478202500227,0.02
1800576,2.3148485795382587,0.02
1400448,2.050457238579434,0.02
2000640,2.2209071401962834,0.0
1600512,2.006601477261936,0.02
2200704,2.1742675846498867,0.0
1800576,1.9605921249526224,0.02
2400768,2.146981350729258,0.0
2000640,1.9406563938923735,0.0
2600832,2.0826711899684764,0.0
2200704,1.9191957901316963,0.0
2800896,2.063588428261167,0.0
2400768,1.9001553379980203,0.0
3000960,2.0333529373244392,0.01
