step,ppl,loss
200064,6.602553944370813,0.01
200064,6.503637174433108,0.01
400128,3.038780246621148,0.01
600192,2.5000958625589376,0.01
800256,2.2983491099314706,0.01
1000320,2.1983721239936367,0.01
1200384,2.0991867960503363,0.01
1400448,2.0637534100372674,0.01
1600512,2.0074748326593315,0.02
1800576,1.9735470222423568,0.02
2000640,1.9372096370653462,0.0
2200704,1.9219054813964398,0.0
2400768,1.9036727430361557,0.0
2600832,1.8847999724895974,0.0
2800896,1.8695754489720593,0.0
3000960,1.8544342458590326,0.0
3201024,1.8428583384598025,0.01
3401088,1.8353701747108293,0.01
200064,8.495648226416996,0.01
400128,4.132718549896193,0.02
600192,3.465161648227412,0.02
800256,3.215657193821226,0.03
1000320,3.1374131578292377,0.03
1200384,3.0109342282807052,0.04
1400448,2.9448685715397214,0.04
1600512,2.8989457696569088,0.04
1800576,2.8384837140631474,0.05
2000640,2.8255561318926072,0.0
2200704,2.8181718119641794,0.0
2400768,2.7882044624886704,0.01
2600832,2.7915547724650356,0.01
2800896,2.7411927847627298,0.02
3000960,2.7270271621978694,0.02
3201024,2.7036947130472546,0.02
3401088,2.661388059571206,0.03
3601152,2.6770530774927117,0.03
3801216,2.675222685897954,0.04
4001280,2.671399098722335,0.0
4201344,2.62321625100454,0.0
4401408,2.620419361216662,0.01
4601472,2.5803774779064486,0.01
4801536,2.5887950378279228,0.02
5001600,2.595202258291865,0.02
5201664,2.5776525748113706,0.02
5401728,2.5784428938955366,0.03
5601792,2.558814606992358,0.03
5801856,2.561842467768186,0.03
6001920,2.5488742035530727,0.0
6201984,2.550086770574495,0.0
6402048,2.54798326211941,0.01
6602112,2.543457676526402,0.01
6802176,2.5323509507115785,0.01
7002240,2.5390319159772297,0.02
7202304,2.531527034920944,0.02
7402368,2.518264077385249,0.03
