step,ppl,loss
200064,4.339650035829516,0.0
400128,2.41101879571471,0.01
600192,2.1037464971595305,0.01
800256,1.973993553151754,0.01
1000320,1.9012583119659707,0.01
1200384,1.859537970289493,0.01
1400448,1.8216588268986365,0.01
1600512,1.8013524706224848,0.01
1800576,1.7851911313856719,0.01
2000640,1.771224299813436,0.0
2200704,1.7552954354170978,0.0
2400768,1.74554734380153,0.0
2600832,1.732206464219895,0.0
2800896,1.716746756928357,0.0
3000960,1.7110188756032092,0.0
3201024,1.712516330813814,0.0
3401088,1.703390579345166,0.01
