context,generated,text
God never intended to,"cause any trouble""

""I hate people like you"" (referring to Trump)","God never intended to cause any trouble""

""I hate people like you"" (referring to Trump)"
"""We aren't out","there looking for bad guys,"" he said. ""We're out there trying to prevent bad guys from","""We aren't out there looking for bad guys,"" he said. ""We're out there trying to prevent bad guys from"
Every word in every State of,this Union? No? Why not? Why do you say no? Why are you saying no?,Every word in every State of this Union? No? Why not? Why do you say no? Why are you saying no?
That makes Americans second to Western Europeans,"when it comes to eating less fat,"" said Dr. Robert Hahn, a dietitian at","That makes Americans second to Western Europeans when it comes to eating less fat,"" said Dr. Robert Hahn, a dietitian at"
They're not gonna let this guy in there,"anymore!"" ""No. No, no. No. No... No... Not good enough... Not","They're not gonna let this guy in there anymore!"" ""No. No, no. No. No... No... Not good enough... Not"
(Who happen to also,"play guitar? No idea.)


""I hate myself because I hate myself so much,"" says","(Who happen to also play guitar? No idea.)


""I hate myself because I hate myself so much,"" says"
"PAs practice under the supervision of a doctor, most","fail because they do not understand why or why not. They ""fail"" because there are too many","PAs practice under the supervision of a doctor, most fail because they do not understand why or why not. They ""fail"" because there are too many"
"Cycle, published by the CTC, is running",until September 30.,"Cycle, published by the CTC, is running until September 30."
"""I know I'm not even","good enough,"" he says. ""But why should it bother me if someone else gets better? I","""I know I'm not even good enough,"" he says. ""But why should it bother me if someone else gets better? I"
Sold by the band at local shows in,"2014 but failed to record any new material

In 2012 they released their debut album 'No More","Sold by the band at local shows in 2014 but failed to record any new material

In 2012 they released their debut album 'No More"
The Mariners are known to,"try not to let bad luck get in the way of winning games. Unfortunately for them this season,","The Mariners are known to try not to let bad luck get in the way of winning games. Unfortunately for them this season,"
Donations poured in from all over to,"help raise money for her medical costs and other costs associated with her recovery. Unfortunately, none came through","Donations poured in from all over to help raise money for her medical costs and other costs associated with her recovery. Unfortunately, none came through"
"With the size of the player, get","rid of them before they grow too large or start taking up more space on your screen

The","With the size of the player, get rid of them before they grow too large or start taking up more space on your screen

The"
"Personally, I much prefer how the Air",Pods sound over my iPhone 6/6s/7/8/8+ but no one,"Personally, I much prefer how the AirPods sound over my iPhone 6/6s/7/8/8+ but no one"
"In his public pronouncements, Gaddafi has","denied any involvement.

The U.N. ""disappeared"" more than 1,","In his public pronouncements, Gaddafi has denied any involvement.

The U.N. ""disappeared"" more than 1,"
"As a result, one of the city","'s worst-hit neighborhoods — East Harlem — lost nearly half of its residents between 2000 and 2010,","As a result, one of the city's worst-hit neighborhoods — East Harlem — lost nearly half of its residents between 2000 and 2010,"
My not so refined taste buds put this in,another category but no one should let their taste-buds get in the way of eating something delicious,My not so refined taste buds put this in another category but no one should let their taste-buds get in the way of eating something delicious
British forces are also involved in the,"fight against Islamic State (IS, formerly ISIS/ISIL). However, none of this should come","British forces are also involved in the fight against Islamic State (IS, formerly ISIS/ISIL). However, none of this should come"
Front projection was used in 2001: A Space,"Odyssey but failed due to poor lighting conditions (the film had been shot on green screen). Instead,","Front projection was used in 2001: A Space Odyssey but failed due to poor lighting conditions (the film had been shot on green screen). Instead,"
"I should know, I was the","victim of one too.""

""No,"" said the doctor. ""No. No. No","I should know, I was the victim of one too.""

""No,"" said the doctor. ""No. No. No"
(This is especially evident if,"one takes into account the lack of evidence for such claims). However, none of this should come as","(This is especially evident if one takes into account the lack of evidence for such claims). However, none of this should come as"
"These friendships last only until the ice forms, then","they disappear again (unless there was something wrong with one or both of them). Unfortunately, if one","These friendships last only until the ice forms, then they disappear again (unless there was something wrong with one or both of them). Unfortunately, if one"
"More than ten, and then it’","s over""

""… No… no… no. No… No!""

I","More than ten, and then it’s over""

""… No… no… no. No… No!""

I"
"During the first half of the Eighties, huge mass","protests broke out across Spain over unemployment, unemployment benefits, unemployment insurance costs, unemployment rates, etc.","During the first half of the Eighties, huge mass protests broke out across Spain over unemployment, unemployment benefits, unemployment insurance costs, unemployment rates, etc."
I wanted to make sure that my Mars trilogy picked,"up where I left off but instead ended on another cliffhanger…

It seemed like something","I wanted to make sure that my Mars trilogy picked up where I left off but instead ended on another cliffhanger…

It seemed like something"
Wooly Booly and chubba chubba....,"""No. No. No! No!""

No... No... No!","Wooly Booly and chubba chubba....

""No. No. No! No!""

No... No... No!
"
"Keenan goes on to say, ""In statistical analyses","of drug use over time (e.g., for drug abuse or drug addiction treatment), however,","Keenan goes on to say, ""In statistical analyses of drug use over time (e.g., for drug abuse or drug addiction treatment), however,"
'A long time ago he said to,me: 'No good man ever died because his wife died before him; no good woman died because,'A long time ago he said to me: 'No good man ever died because his wife died before him; no good woman died because
"The game becomes a job,","or at least something else for him to focus on. Instead, he spends most of his free time","The game becomes a job, or at least something else for him to focus on. Instead, he spends most of his free time"
That scenario has some definite,"problems:

1) It leaves out one major problem (the lack of data),","That scenario has some definite problems:

1) It leaves out one major problem (the lack of data),

"
"Called Woodberry Down, it was a",low quality product with poor quality packaging that caused many customers to throw their money away on another product from,"Called Woodberry Down, it was a low quality product with poor quality packaging that caused many customers to throw their money away on another product from"
We shouldn't raid Social Security or sacrifice,"our health care. Instead, let's work together to prevent another financial crisis.""

The Republican","We shouldn't raid Social Security or sacrifice our health care. Instead, let's work together to prevent another financial crisis.""

The Republican"
"The DEKA prosthetic arm and Spot, the",robot used for testing at NASA's Kennedy Space Center (KSC) in Florida are no longer available,"The DEKA prosthetic arm and Spot, the robot used for testing at NASA's Kennedy Space Center (KSC) in Florida are no longer available"
But Clooney and business partner Rande Gerber didn't,"return calls or emails seeking comment.

The lawsuit, filed in U.S. District Court","But Clooney and business partner Rande Gerber didn't return calls or emails seeking comment.

The lawsuit, filed in U.S. District Court"
It's not often I,get this kind of response but when I did it didn't take much for me to forget what happened,It's not often I get this kind of response but when I did it didn't take much for me to forget what happened
"While the rice is cooking, beat the","sugar until pale yellow in color; remove from heat and set aside. In another bowl, remove the","While the rice is cooking, beat the sugar until pale yellow in color; remove from heat and set aside. In another bowl, remove the"
Some children are still,"missing or have died because their parents failed to take care of them properly, according to a report released","Some children are still missing or have died because their parents failed to take care of them properly, according to a report released"
"""Guarding LeBron James has to be the","worst job in the NBA,"" said former NBA star Gary Payton, now an ESPN analyst.","""Guarding LeBron James has to be the worst job in the NBA,"" said former NBA star Gary Payton, now an ESPN analyst.

"
"25 Saward, p.","074 (not available online).

4) No evidence was found to support the use of","25 Saward, p. 074 (not available online).

4) No evidence was found to support the use of"
"Just having a lawyer in the room, or on","your side? Not good enough,"" said Mr Brown.

Mr Brown's comments came after reports","Just having a lawyer in the room, or on your side? Not good enough,"" said Mr Brown.

Mr Brown's comments came after reports"
"Previously, he served as a spokesman for the Navy","but left that position in 2011 after failing to pass an exam.

In 2012 and 2013,","Previously, he served as a spokesman for the Navy but left that position in 2011 after failing to pass an exam.

In 2012 and 2013,"
All great qualities are never found in any,"kind of product or product line; they exist only within each individual product. However, when something fails","All great qualities are never found in any kind of product or product line; they exist only within each individual product. However, when something fails"
"Sweet mother of God, that","wasn't good enough for you?""

""No,"" I said slowly. ""Not good enough","Sweet mother of God, that wasn't good enough for you?""

""No,"" I said slowly. ""Not good enough"
"And then, finally, in 1911",", after more than ten years of failed attempts at reform (with little success), President Woodrow Wilson","And then, finally, in 1911, after more than ten years of failed attempts at reform (with little success), President Woodrow Wilson"
And because people choose where to live doesn,"'t mean there aren't some bad ones out there,"" he said. ""We just have to stop","And because people choose where to live doesn't mean there aren't some bad ones out there,"" he said. ""We just have to stop"
"""Sergeant McCranie was","killed during combat operations over Iraq in 2003,"" a spokesman said. ""No further information will be released","""Sergeant McCranie was killed during combat operations over Iraq in 2003,"" a spokesman said. ""No further information will be released"
"Twitter CFO Anthony Noto, who spearheaded the deal",", declined an opportunity to comment for this article. Instead he sent over another statement:

""","Twitter CFO Anthony Noto, who spearheaded the deal, declined an opportunity to comment for this article. Instead he sent over another statement:

"""
"For most people,",not having access to clean water isn't enough of an excuse for leaving their home — especially if they,"For most people, not having access to clean water isn't enough of an excuse for leaving their home — especially if they"
"Good reason or not, it was entirely","wrong for Trump to accuse Hillary Clinton and her campaign of ""stealing"" the election from him,""","Good reason or not, it was entirely wrong for Trump to accuse Hillary Clinton and her campaign of ""stealing"" the election from him,"""
Can you come out and help,"me stop these bad guys? Or do I just have to run away from this horrible place?""","Can you come out and help me stop these bad guys? Or do I just have to run away from this horrible place?""
"
It’s only fair since they pay for their,"own food but no one should have the right to eat at someone else's expense""

""","It’s only fair since they pay for their own food but no one should have the right to eat at someone else's expense""

"""
I know she's always been a birthday animatronic that,"didn't really exist anymore…

""I hate her so much… why do I hate her","I know she's always been a birthday animatronic that didn't really exist anymore…

""I hate her so much… why do I hate her"
