keywords,context,generated,text
fold#hat#stand,I remember performing colors when I was in the Navy. You went out there twice a day as the anthem was playing in either put the flag up or took it down. When taking it down you had to make sure to prepare it in a certain way before you put it away.,"It stood out to me that they folded the hat. Now, it goes back to me. Now I'm proud. Now it all stands out. Now we","I remember performing colors when I was in the Navy. You went out there twice a day as the anthem was playing in either put the flag up or took it down. When taking it down you had to make sure to prepare it in a certain way before you put it away. It stood out to me that they folded the hat. Now, it goes back to me. Now I'm proud. Now it all stands out. Now we"
boat#head#stand,Jack couldn't wait to get out on the lake to go fishing. He backed his truck up and made sure the trailer dipped down just right into the dock to offload. He hoped that he wouldn't have trouble getting his motor to run.,He stood up on the boat and headed for it. It was still dark. He was still tired. Now it was time to head back home. The boat,Jack couldn't wait to get out on the lake to go fishing. He backed his truck up and made sure the trailer dipped down just right into the dock to offload. He hoped that he wouldn't have trouble getting his motor to run. He stood up on the boat and headed for it. It was still dark. He was still tired. Now it was time to head back home. The boat
ear#hold#phone,I hate when people are using their cell in public on speaker to have a conversation. It's so simple to turn off speaker and use it the way it was intended. I don't need to know about your business so please turn off speaker and use the cell the right way.,I still hold my phone in my ear. I'm not going to hold it right next to me. I am going to be very careful. I can't,I hate when people are using their cell in public on speaker to have a conversation. It's so simple to turn off speaker and use it the way it was intended. I don't need to know about your business so please turn off speaker and use the cell the right way. I still hold my phone in my ear. I'm not going to hold it right next to me. I am going to be very careful. I can't
enjoy#friend#knit,"Friendship is a relationship of mutual affection between people. It is a stronger form of interpersonal bond than an association, and has been studied in various academic fields. Such as communication, sociology, social psychology, anthropology, and philosophy.","It can be enjoyed by friends and family, and by those who are not close to each other but are close to their friends or close to those they are close","Friendship is a relationship of mutual affection between people. It is a stronger form of interpersonal bond than an association, and has been studied in various academic fields. Such as communication, sociology, social psychology, anthropology, and philosophy. It can be enjoyed by friends and family, and by those who are not close to each other but are close to their friends or close to those they are close"
background#crowd#pose,I love photography. One of my favorite things to do is to take pictures of people modeling throughout the city. The beach is one of my favorite places because of the scenery and the atmosphere there.,"I pose a crowd of people in the background. Now, I'm going to do something different. Now I'm doing a crowd shot. Now it is very","I love photography. One of my favorite things to do is to take pictures of people modeling throughout the city. The beach is one of my favorite places because of the scenery and the atmosphere there. I pose a crowd of people in the background. Now, I'm going to do something different. Now I'm doing a crowd shot. Now it is very"
brush#dip#paint#paint,One thing that I've seen growing popularity are these art classes with your friends. Some of them you can even bring wine to enjoy yourself. It's some thing that I'm going to look into because I might have a good time myself.,"I can paint and dip in the paint brush. Now, it's really hard to paint. Now it's hard to dip. Now there's hard. Now","One thing that I've seen growing popularity are these art classes with your friends. Some of them you can even bring wine to enjoy yourself. It's some thing that I'm going to look into because I might have a good time myself. I can paint and dip in the paint brush. Now, it's really hard to paint. Now it's hard to dip. Now there's hard. Now"
cigarette#street#walk,James mulled over the fight with his girlfriend. The city noises were all blocked out by him. He dropped his lighter and then picked it up again.,He walked up to his cigarette and lit it up on the street. He went back home. He was tired. He did not want to go out. He,James mulled over the fight with his girlfriend. The city noises were all blocked out by him. He dropped his lighter and then picked it up again. He walked up to his cigarette and lit it up on the street. He went back home. He was tired. He did not want to go out. He
egg#fork#pour#skillet#whisk,"The argument between my wife and I was like an object we shared. We first held it in the bedroom, then carried it with us to the kitchen. It didn't get in the way of me making coffee or her preparing breakfast.",I poured the hot water over the eggs and whisked them up with a fork. She stirred the skillet. When it was time for me to pour it was,"The argument between my wife and I was like an object we shared. We first held it in the bedroom, then carried it with us to the kitchen. It didn't get in the way of me making coffee or her preparing breakfast. I poured the hot water over the eggs and whisked them up with a fork. She stirred the skillet. When it was time for me to pour it was"
building#front#sidewalk#walk,I could not bring myself to go up to see her. The apartment stairs were too high. I was afraid of heights as I stood next to the street.,"I walked to the sidewalk in front of the building. I did not go up. I went down. I never went back up. Now, I went back","I could not bring myself to go up to see her. The apartment stairs were too high. I was afraid of heights as I stood next to the street. I walked to the sidewalk in front of the building. I did not go up. I went down. I never went back up. Now, I went back"
game#pass#quarterback#throw,"There was fourteen seconds left on the clock in the semi-finals matchup. The boy got the ball and looked around the field for an open receiver. Spotting one, he drew back and let the ball fly high into the air, hoping that it would land safely into the hands of his teammate.",The quarterback threw the pass in the game's final minute. It was perfect. The pass. The perfect! The quarterback! It was! The pass! The,"There was fourteen seconds left on the clock in the semi-finals matchup. The boy got the ball and looked around the field for an open receiver. Spotting one, he drew back and let the ball fly high into the air, hoping that it would land safely into the hands of his teammate. The quarterback threw the pass in the game's final minute. It was perfect. The pass. The perfect! The quarterback! It was! The pass! The"
cake#powder#sprinkle#sugar#top,One of the best things about birthdays are the sweet treats you get to enjoy. I love the intricacies of the decorations now. You can turn anything into a delectable and moist pastry.,I sprinkled some sugar on top of the cake and then sprinkled some powder over it. It was so delicious! I sprinkled it all over the top. Now I,One of the best things about birthdays are the sweet treats you get to enjoy. I love the intricacies of the decorations now. You can turn anything into a delectable and moist pastry. I sprinkled some sugar on top of the cake and then sprinkled some powder over it. It was so delicious! I sprinkled it all over the top. Now I
paint#paper#piece#spray,It did not take long to finish the house. We worked on every room. The new color looked great.,The paper was spray painted and the pieces were done. Now it was time to paint. The first piece was done. It was very hard to paint all the,It did not take long to finish the house. We worked on every room. The new color looked great. The paper was spray painted and the pieces were done. Now it was time to paint. The first piece was done. It was very hard to paint all the
shirt#store#touch,"It's funny how life works. I was feeling miserable that things ended between Anne and I. To distract myself, I went to the mall and saw the most beautiful saleswoman I've ever seen.","She touched my shirt and went back to the store. Now, I've never been so happy. Now I can go home. Now it's just me.","It's funny how life works. I was feeling miserable that things ended between Anne and I. To distract myself, I went to the mall and saw the most beautiful saleswoman I've ever seen. She touched my shirt and went back to the store. Now, I've never been so happy. Now I can go home. Now it's just me."
bench#lay#lift#weight,"Going to the gym can be an adventure. First, if it's too crowded you will not get to use any of the equipment that you want. Especially if you're trying to build the muscles in your chest.","And second, it can be hard to lay down on the bench and lift weight. Now, you may be hard. I'm hard. But I'm not","Going to the gym can be an adventure. First, if it's too crowded you will not get to use any of the equipment that you want. Especially if you're trying to build the muscles in your chest. And second, it can be hard to lay down on the bench and lift weight. Now, you may be hard. I'm hard. But I'm not"
